"filename", "language", "JSON", "Markdown", "JavaScript", "Vue", "HTML", "CSS", "XML", "comment", "blank", "total"
"g:\香哈菜谱\muen\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"g:\香哈菜谱\muen\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"g:\香哈菜谱\muen\package-lock.json", "JSON", 11763, 0, 0, 0, 0, 0, 0, 0, 1, 11764
"g:\香哈菜谱\muen\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"g:\香哈菜谱\muen\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"g:\香哈菜谱\muen\src\App.vue", "Vue", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"g:\香哈菜谱\muen\src\api\login\login.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"g:\香哈菜谱\muen\src\api\menu\menu.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 1, 4, 85
"g:\香哈菜谱\muen\src\api\public\home.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\香哈菜谱\muen\src\api\public\type.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 0, 7, 190
"g:\香哈菜谱\muen\src\api\request.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 21, 2, 36
"g:\香哈菜谱\muen\src\api\user\user.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"g:\香哈菜谱\muen\src\components\Dialog\Dialog.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 0, 8, 203
"g:\香哈菜谱\muen\src\components\FilterContainer\FilterContainer.vue", "Vue", 0, 0, 0, 59, 0, 0, 0, 0, 3, 62
"g:\香哈菜谱\muen\src\components\Pagination\Pagination.vue", "Vue", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"g:\香哈菜谱\muen\src\components\SvgIcon\index.vue", "Vue", 0, 0, 0, 41, 0, 0, 0, 0, 2, 43
"g:\香哈菜谱\muen\src\const\global_data.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"g:\香哈菜谱\muen\src\icons\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"g:\香哈菜谱\muen\src\icons\svg\go_top.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\香哈菜谱\muen\src\icons\svg\liebiao.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\香哈菜谱\muen\src\icons\svg\liebiao_1.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\香哈菜谱\muen\src\icons\svg\yibiao.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"g:\香哈菜谱\muen\src\icons\svg\yonghu.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\香哈菜谱\muen\src\icons\svg\yonghu_1.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\香哈菜谱\muen\src\main.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 1, 8, 28
"g:\香哈菜谱\muen\src\router\index.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"g:\香哈菜谱\muen\src\store\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"g:\香哈菜谱\muen\src\store\types\idnex.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 8, 1, 36
"g:\香哈菜谱\muen\src\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 5, 1, 57
"g:\香哈菜谱\muen\src\utils\global.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 9, 5, 102
"g:\香哈菜谱\muen\src\utils\validate.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 14, 1, 31
"g:\香哈菜谱\muen\src\views\container\Container.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 4, 11, 210
"g:\香哈菜谱\muen\src\views\index\Index.vue", "Vue", 0, 0, 0, 108, 0, 0, 0, 0, 5, 113
"g:\香哈菜谱\muen\src\views\login\Login.vue", "Vue", 0, 0, 0, 90, 0, 0, 0, 0, 4, 94
"g:\香哈菜谱\muen\src\views\menu\Menu.vue", "Vue", 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"g:\香哈菜谱\muen\src\views\menu\child\Add_menu.vue", "Vue", 0, 0, 0, 587, 0, 0, 0, 2, 13, 602
"g:\香哈菜谱\muen\src\views\menu\child\U_menu.vue", "Vue", 0, 0, 0, 363, 0, 0, 0, 1, 14, 378
"g:\香哈菜谱\muen\src\views\public\home\Home.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\香哈菜谱\muen\src\views\public\type\Type.vue", "Vue", 0, 0, 0, 119, 0, 0, 0, 1, 7, 127
"g:\香哈菜谱\muen\src\views\public\type\child\Food.vue", "Vue", 0, 0, 0, 610, 0, 0, 0, 3, 8, 621
"g:\香哈菜谱\muen\src\views\public\type\child\FoodtypeTable.vue", "Vue", 0, 0, 0, 532, 0, 0, 0, 4, 11, 547
"g:\香哈菜谱\muen\src\views\public\type\child\Label.vue", "Vue", 0, 0, 0, 402, 0, 0, 0, 15, 12, 429
"g:\香哈菜谱\muen\src\views\public\type\child\TypeTable.vue", "Vue", 0, 0, 0, 340, 0, 0, 0, 15, 12, 367
"g:\香哈菜谱\muen\src\views\table\Table.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"g:\香哈菜谱\muen\src\views\user\User.vue", "Vue", 0, 0, 0, 132, 0, 0, 0, 4, 12, 148
"g:\香哈菜谱\muen\vue.config.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 5, 4, 71
"Total", "-", 11806, 15, 604, 3899, 20, 51, 13, 114, 189, 16711